5,young guys with shaggy hair look at their hands while hanging out in the yard .
1,young , White males are outside near many bushes .
2,men in green shirts are standing in a yard .
2,man in a blue shirt standing in a garden .
1,friends enjoy time spent together .
0,men in hard hats are operating a giant pulley system .
0,look down from up above on a piece of equipment .
0,men working on a machine wearing hard hats .
0,men on top of a tall structure .
0,men on a large rig .
2,child in a pink dress is climbing up a set of stairs in an entry way .
2,little girl in a pink dress going into a wooden cabin .
1,little girl climbing the stairs to her playhouse .
0,little girl climbing into a wooden playhouse .
0,girl going into a wooden building .
2,in a blue shirt and hat is standing on stair and leaning against a window .
8,man in a blue shirt is standing on a ladder cleaning a window .
7,man on a ladder cleans the window of a tall building .
1,in blue shirt and jeans on ladder cleaning windows
9,man on a ladder cleans a window
6,men , one in a gray shirt , one in a black shirt , standing near a stove .
1,guy cooking and joking around with the camera .
9,men in a kitchen cooking food on a stove .
1,men are at the stove preparing food .
0,men are cooking a meal .
5,people in the photo are playing the guitar and the other is poking at him .
7,man in green holds a guitar while the other man observes his shirt .
1,man is fixing the guitar players costume .
1,guy stitching up another man 's coat .
1,two boys playing guitar
8,man sits in a chair while holding a large stuffed animal of a lion .
7,man is sitting on a chair holding a large stuffed animal .
7,man completes the finishing touches on a stuffed lion .
0,man holds a large stuffed lion toy .
0,man is smiling at a stuffed lion
7,girl is on rollerskates talking on her cellphone standing in a parking lot .
1,trendy girl talking on her cellphone while gliding slowly down the street .
0,young adult wearing rollerblades , holding a cellular phone to her ear .
0,is a young girl on her cellphone while skating .
1,talking on cellphone and wearing rollerskates .
8,asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
0,people are standing outside near large pipes and a metal railing .
1,young woman walks past two young people dressed in hip black outfits .
3,woman with a large purse is walking by a gate .
0,people standing outside a building .
5,men in Germany jumping over a rail at the same time without shirts .
0,youths are jumping over a roadside railing , at night .
5,dancing on poles in the middle of the night .
3,men with no shirts jumping over a rail .
0,guys jumping over a gate together
2,ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .
3,dancers in a studio practice jumping with wonderful form .
0,girls are leaping simultaneously in a dance practice room .
1,girls dancing and bending feet in ballet class .
1,ballet class of five girls jumping in sequence .
2,young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .
3,casually dressed guys jumping down a stairway outdoors with a stone wall behind them .
0,guys three wearing hats one not are jumping at the top of a staircase .
1,men with excited faces are jumping down from the top of stairs .
0,people are jumping from the top of a flight of stairs .
4,black dog and a white dog with brown spots are staring at each other in the street .
4,black dog and a tri-colored dog playing with each other on the road .
1,dogs of different breeds looking at each other on the road .
1,dogs on pavement moving toward each other .
4,black dog and a spotted dog are fighting
7,man with reflective safety clothes and ear protection drives a John Deere tractor on a road .
0,Deere tractors cruises down a street , while the driver wears easy to see clothing .
7,man in a neon green and orange uniform is driving on a green tractor .
2,man in a tractor wearing headphones driving down a paved street .
7,man driving a John Deere tractor on a main road in the country .
3,women are standing in front of a bus with buildings behind it .
3,women stand on a city street with tall buildings .
2,group of women are standing in front of a bus .
0,women wait outside in a city .
1,are standing outside
9,young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
9,lady in a black top with glasses is sprinkling powdered sugar on a bundt cake .
1,woman wearing glasses sprinkles powdered sugar onto her bundt cake .
0,in black jacket sifting powdered sugar over a chocolate cake .
0,standing woman holds a pan over a cake .
2,small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
2,little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
2,is a girl with pigtails sitting in front of a rainbow painting .
2,little girl is sitting in front of a large painted rainbow .
5,girl with pigtails painting outside in the grass .
7,man sleeping on a bench outside with a white and black dog sitting next to him .
7,man lays on the bench to which a white dog is also tied .
1,laying on bench holding leash of dog sitting on ground
3,shirtless man lies on a park bench with his dog .
7,man lays on a bench while his dog sits by him .
8,group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .
4,musicians , a man and four women , practicing sheet music (using flutes ) in a living room .
0,gathered in a circle , some holding musical instruments .
0,gathered in a room to talk about their favorite tunes .
3,people are sitting in a circle with instruments .
4,women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .
0,least four instrumentalists play clarinets and other instruments in a curtained room .
2,women in a living room , three of which are clearly playing a musical instrument .
1,bunch of elderly women play their clarinets together as they read off sheet music .
1,group of four women , are performing music on their instruments .
5,person in gray stands alone on a structure outdoors in the dark .
0,large structure has broken and is laying in a roadway .
7,man in a gray coat is standing on a washed out bridge .
1,man stands on wooden supports and surveys damage .
7,man in a jacket and jeans standing on a bridge .
8,man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
5,large crowd of people stand outside in front of the entrance to a Metro station .
0,group of people are walking through a city street .
0,crowd is portrayed near a metro station .
0,standing outside a metro area .
6,man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
7,man is putting a tattoo on a another 's man upper back .
7,man with a black shirt giving another man a tattoo .
1,man is putting tattoo on his back .
7,man getting a tattoo on his back .
4,children , a girl and a boy are practicing their writing .
5,children sit on a small seesaw in the sand .
0,children sitting on a teeter totter .
0,kids playing on a seesaw
0,kids sit on a seesaw .
2,man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
2,man wearing a hard hat and a caution vest is standing in the street waving an orange flag .
2,man in bright vest and hard hat holds a flag on a street corner covered in spray paint
5,construction worker is standing in the street and holding a red flag .
8,man wearing a reflective vest and a hard hat holds a flag in the road
1,man with pierced ears is wearing glasses and an orange hat .
3,man with glasses is wearing a beer can crocheted hat .
3,man with gauges and glasses is wearing a Blitz hat .
1,man in an orange hat starring at something .
1,man wears an orange hat and glasses .
6,person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
8,person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene .
3,person with gray hair is painting in a public place surrounded by others who are also painting .
2,in blue coat with white and brown hat standing in front of a painting .
1,admiring painting at an outdoor art fair .
7,man stands on one foot while holding on to a waste basket .
2,man in green pants and blue shirt pushing a cart .
1,pushing dolly outside with janitor tools .
5,man in green pants walking down the road .
2,man in bright pants is pushing a cart .
5,small child grips onto the red ropes at the playground .
5,little girl in pink climbs a rope bridge at the park .
9,small child climbs on a red ropes on a playground .
1,little girl climbing on red roping .
0,child playing on a rope net .
7,man in jacket holding a toothpick with something on the end of it
7,young man traveling on bus with a piece of flower in his hands .
1,teen holding an unknown object for photographers .
7,young man on a train holds an origami crane .
1,know i am looking like Justin Bieber .
2,blond man in a blue and yellow jacket smiling while standing in front of a net .
4,young man in a black and yellow jacket is gazing at something and smiling .
0,young man holding a pole vault looks determined .
0,man is holding a pole and smiling .
1,smiling man looking at the sky .
8,man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
7,man is wearing a ball cap and holding a coffee cup between to urinals .
3,man is posing next to a urinal with a cup of coffee .
5,man holds a coffee cup while in the bathroom .
3,man standing at a urinal with a coffee cup .
5,people walking with a multicolored sky in the background .
5,people walking through the sunset in clear blue skies .
1,people walking with the sun setting behind them .
1,silhouettes decorate the horizon 's sunset .
1,group of people walking as the sun sets .
3,man with black hair sits in a restaurant with a glass of beer .
3,man is sitting at a table with a drink .
3,man is sitting at a table with a beer .
1,dark-haired man sitting drinking .
0,old man having a beer alone .
4,black and white dog is running in a grassy garden surrounded by a white fence .
2,Boston Terrier is running on lush green grass in front of a white fence .
1,black and white dog is running through the grass .
0,dog runs on the green grass near a wooden fence .
5,Boston terrier is running in the grass .
5,officer in a reflective vest stands at the front of his van with his dog .
5,trained police dog sits next to his handler in front of the police van .
1,security man with his watch dog is looking for something .
3,policeman is standing with a German Shepherd dog .
9,policeman stops on a street with a search dog .
6," white out " conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .
0,young boy rides a bike down a snow covered road .
